Component,Quantity,Price,Link
Waveshare ESP32-S3 3.5" Touch LCD,1,~$39,https://amzn.eu/d/06HJpbi9
EEMB 3.7V 2000mAh 103454 LiPo Battery,1,~$13,https://amzn.eu/d/cf0S0PU
M2x8 Countersunk Screws,4,~$8,https://amzn.eu/d/9zHVemm
MicroSD Card,1,~$6,https://amzn.eu/d/2BCD5lO
